P3 Module,TFIDF,W2V,SpaCy,FastText
flink-clients,0.8209110303610248,0.9786297678947449,0.9895477201334126,0.994438648223877
flink-connectors,0.8246918786924284,0.9816564321517944,0.9917411676117646,0.997696380629489
flink-container,0.47837780211251796,0.7873136401176453,0.8677861038537731,0.9587467312812805
flink-contrib,0.21600433075135153,0.7217215895652771,0.8863351103244018,0.9449877738952637
flink-core,0.8295076058975436,0.9746569395065308,0.9902885261356345,0.994689251289945
flink-docs,0.61034976957509,0.9237841963768005,0.9698768528850263,0.9841418266296387
flink-dstl,0.5900397570777559,0.922944962978363,0.9557604639690407,0.9731572270393372
flink-external-resources,0.4959386223338188,0.7936127781867981,0.9153899169931543,0.9270685315132141
flink-filesystems,0.5223738446147962,0.9449065923690796,0.9750365501151781,0.9906102418899536
flink-formats,0.7597704830610934,0.9737415313720703,0.9843782071627245,0.9887104961861978
flink-java,0.653811980186561,0.9668998718261719,0.9863721191848293,0.9885916568188486
flink-kubernetes,0.8986736942264606,0.9901920557022095,0.9947644962152142,0.9958367943763733
flink-libraries,0.6971502814679368,0.9673641324043274,0.9782438260153491,0.9927321617358915
flink-metrics,0.8415374568070935,0.9763947129249573,0.9850257244725248,0.9932782649993896
flink-optimizer,0.3994814942933846,0.9183906316757202,0.9561596090112942,0.9668471542340522
flink-python,0.7584046644480877,0.9736045002937317,0.9842997651557889,0.9898065345235957
flink-queryable-state,0.6741286060073146,0.9530884623527527,0.9821945105965062,0.9871971607208252
flink-rpc,0.8536747328056113,0.9827423095703125,0.9883096263735388,0.9927718639373779
flink-runtime,0.9183600525249465,0.9889611011955377,0.9965259049277513,0.9984618130712802
flink-runtime-web,0.7484843123212833,0.9752191305160522,0.9883111285542893,0.9884083867073059
flink-scala,0.5984812517568527,0.9070648550987244,0.9481529979078749,0.9789515137672424
flink-state-backends,0.8830653455463963,0.9923277497291565,0.994682611583413,0.9968496561050415
flink-streaming-java,0.8894045691910267,0.9928918480873108,0.9967011675236925,0.9979839025960423
flink-streaming-scala,0.06451252283600699,0.47561612725257874,0.8237738281823302,0.8922962546348572
flink-table,0.8429206071122055,0.9912686894969251,0.99566299847434,0.9973447251857188
flink-yarn,0.8215840326160424,0.9676433205604553,0.9885781411710328,0.9947016835212708
